Title_URL,Ratings(1-5),Review Heading,Review Body,Date
https://ca.trustpilot.com/users/5f3e4636d5dfc23398cd418c,1,DELIVER YOURSELVES NOT WITH DOORDASH ,"Walmart should perhaps learn how to deliver their own customers groceries. I ordered on October 6th for the 7th at 7-8am . It's 10;30 am and nothing. I called Walmart,  the door dash driver which seems he disconnected his cell. Door dash does not even call THEIR employees. Walmart said to wait till tomorrow morning to get refund. They are quick for payment but not for refunds. Walmart is a complete joke and so is doordash .",2024-10-07
https://ca.trustpilot.com/users/655ba4c683806a0012b84fb6,1,Do not order online the app is garbage,"I ordered originally 11 items of where 2 where milk and cat food ,they took them of the order because they did not had the cat food and did not delivered the milk .so there where 8 items left for delivery ,well they decided to split up the order in 3 different  dates 6 items the next day one item 2 days after and one item 14 day`s later what was toilet paper what they charged me $20.23 dollars for shipping. This is totally unacceptable because it should be $5.95 for all don`t know what the other items will cost me in shipping I think i overpaid them approx. $ 30.00 on my credit card. Never again Walmart ",2024-09-09
https://ca.trustpilot.com/users/67040a868a97fc57ef4391c6,1,Don't order heavy items from Walmart,"Don't order heavy items from Walmart on-line!

Walmart supplies a ""delivery"" service that drops items off at your garage or front door. So if your ordering a deep freezer they don't bring it inside. It is apparently a ""policy"" that they do not supply a delivery to inside your house for ""your protection"". So you can hurt yourself trying to move a heavy item!

Also because of the level of delivery they supply you can't see who is the final mile carrier or when your item will arrive. Thus you can just arrive home to find a deep freezer in from of your garage door or front door. You can see cross country carrier, but not who they hand the item off to for final delivery.

There is nothing on-line to describe the type of delivery that Walmart is providing, so that you would be aware of this before you place your order.

They should stop sell large heavy items on-line until they set up a proper delivery system like Costco or Home Depot.",2024-09-26
https://ca.trustpilot.com/users/60091fc06d10d9001a618655,1,"money taken, order never shipped","I ordered from their website and made sure I was ordering from Walmart directly and not a third party vendor. Turns out Walmart is lying and is ordering from a 3rd party, putting it in a Walmart box and shipping it as if it’s shipped and sold by them. I placed an order 6 days ago and no moment has been made nor any communication. When I called to ask, they told me to wait 72 business hours for a response back. Customer service is useless and all I could hear on the phone was scooter honking in the background.

I managed to get the CS rep to admit the order was delayed but then they quickly retracted when I asked why there was no communication to me about the delay. The item I ordered was $400 and I feel scammed at this point.

I live on an island, and base my purchases off the dates shown for delivery. I met my end of the deal, which was paying the bill, now it’s your turn to follow through. I am disgusted at Walmarts customer service practices and am now at the point of never stepping foot in any of there stores again.",2024-10-03
https://ca.trustpilot.com/users/66b7bee93f448c1aa56f6e0f,1, Customer associates attention at Walmart,"I went shopping today at Walmart located at 1644 Hillside Ave. I am a frequent customer. I needed help from a customer service associate, I raised my hand trying to get someone's attention as every associate was talking to each other and paying no attention to customers, and when an associate saw me she approached me in an aggressive manner and her behaviour was so low level you could even feel the rudeness and unprofessionalism. She was so rude, inconsiderate and unprofessional. Some associates are given the opportunity to work but unfortunately they abuse the system and do whatever they want. Please supervise !!! ",2024-10-01
https://ca.trustpilot.com/users/5e64326bbaa518830f122fa1,5,Positive customer service to be grateful for…,"I went shopping today at the Walmart store in Capilano in Edmonton, Alberta I received excellent and superb customer service from 2 employees, one employee from the frozen foods was wearing a white coat, Unfortunately, I did not find out what his name was, however he showed me all with the items I needed by walking up to the shelves, I found him very knowledgeable, kind, respectful with good listening skills. My grocery items were checked out at a cash register , served by a polite cashier by the name Ashna. I am grateful for these 2 well trained employees, I recommend to anyone Walmart located in Capilano/50 st. to find groceries, fruits, clothing, electronics , everything you need in one location. I'm a resident of Edmonton. My name is Nellie.
",2024-09-26
https://ca.trustpilot.com/users/67040274554347572aa772ce,1,The worst customer service experience ,"If I could give this customer service minus 5 stars I would! The absolute worse customer service I have ever come across! I ordered a TV on the 26th September and it said it would be here on the 27th, I then received a message saying it was delayed until the 28th which I appreciated. By the 30th September I still had no TV so I phoned Walmart and explained the situation and they said the escalation team would be in touch, the escalation team phoned on the 1st October and said they were looking into it but had no further update! On the 3rd of October I phoned Walmart again and they stated I had to wait for the escalation team to get in touch! We ended up phoning looking to speak to a supervisor and she did not help either! She stated we would be compensated but we still have not got our refund so at this rate I’m not even sure we will be compensated for this awful experience. On the 4th of October Fed Ex phoned and said the order was lost and that Walmart have to refund me my money for the TV as it was no where to be found. I phoned Walmart straight away to explain that I was speaking to fed ex and that they must issue the refund, again I got told that the escalation team would be in touch! It is now the 7th of October and no one from the escalation team has been in contact! When I asked customer service for the refund they said they are not authorised to do it, I then asked for a direct number for the escalation team and they said there is no number for customers to contact! I asked for an email address for Walmart to send in a complaint, I was told there was no email address to send in a complaint! I hate hate hate leaving bad reviews but I feel I have been left with no options as their customer services is appalling, I now have no TV and I am down money and it just seems they are dragging their feet on refunding me back my money! Walmart is a multibillion company, the least I would expect would be good customer service! ",2024-10-06
https://ca.trustpilot.com/users/66e60ae99c0d333680ca395e,2,Scam protection plan,"They upsell a protection plan that doesn’t cover anything. So what am I paying for? It’s a scam so a multibillion dollar company can add funds to their account without looking out for their customers. If your going to upsell insurance plans and protections, you could at least make sure they are actually going to be worth the money you are taking from REGULAR PEOPLE! ",2024-09-14
https://ca.trustpilot.com/users/5f08fb46b2943ea64ce6bcac,1,Inconsiderate and unprofessional,"I made an order an alotted the wrong address. I immediately cancelled my order, yet Walmart withdrew my funds and I have not received them back and its been 4 full business days plus a weekend. Their call centre gives me the run around, are rude and has wait times on average of 30 min. with absolute no resolve nor consideration!",2024-09-06
https://ca.trustpilot.com/users/66ef1d227e011508a882ca56,1,Stay Away from their electronics,"Stay Away from their electronics! I bought a Sandisk SD card from Walmart September 21 2024. I put the SD card on my camera and it was not reading. I returned the SD card to Walmart the morning of September 22. Literally less than 24 hours later and they informed me they cannot accept opened electronic devices. I wonder what kind of policy this is! I asked for the manager and asked her How do I get to know something is working unless I open it? After going back and forth with the supervisor because the manager had to rush for a meeting, I finally got approval for an exchange. Stay away from buying any electronics from Walmart because once you open it, as the manager and associates informed me, Walmart does not accept returns on opened electronics. So even if you buy something and it’s defective, once you open that box, the loss is on you. If you care about your time and money stay away from their electronic products.  The walmart I am talking about is 1045 Wellington Road London On. ",2024-09-21
https://ca.trustpilot.com/users/60f1a5edecdfe500112131ab,1,In my area of Cambridge Ontario,"In my area of Cambridge Ontario, the Walmart store has the worst customer service of any big box store I have ever frequented. The so called customer service people don't speak or understand simple English. Staff in the store chat out loud to each other in their own language and when asked to help, they, for the most part, couldn't understand what I needed and didn't as much as try. I looked all through the store, looking for someone who could understand me and found one!
Is this not racist of the Indian manager? Most friends of mine are now former WalMart customers.
I believe in all races but this is an obvious prejudice
",2024-08-01
