Title_URL,Ratings(1-5),Date,Cleaned Review Heading,Cleaned Review Body,Heading Pos,Heading Neu,Heading Neg,Heading Compound,Body Pos,Body Neu,Body Neg,Body Compound
https://ca.trustpilot.com/users/5f3e4636d5dfc23398cd418c,1,2024-10-07,deliver doordash,walmart perhaps learn deliver customers groceries ordered october 6th 7th 78am 1030 nothing called walmart door dash driver seems disconnected cell door dash even call employees walmart said wait till tomorrow morning get refund quick payment refunds walmart complete joke doordash,0.0,1.0,0.0,0.0,0.052,0.948,0.0,0.296
https://ca.trustpilot.com/users/655ba4c683806a0012b84fb6,1,2024-09-09,order online app garbage,ordered originally 11 items 2 milk cat food took order cat food delivered milk 8 items left delivery well decided split order 3 different dates 6 items next day one item 2 days one item 14 days later toilet paper charged 2023 dollars shipping totally unacceptable 595 dont know items cost shipping think overpaid approx 3000 credit card never walmart,0.0,1.0,0.0,0.0,0.071,0.851,0.077,-0.101
https://ca.trustpilot.com/users/67040a868a97fc57ef4391c6,1,2024-09-26,dont order heavy items walmart,dont order heavy items walmart online walmart supplies delivery service drops items garage front door ordering deep freezer dont bring inside apparently policy supply delivery inside house protection hurt trying move heavy item also level delivery supply cant see final mile carrier item arrive thus arrive home find deep freezer garage door front door see cross country carrier hand item final delivery nothing online describe type delivery walmart providing would aware place order stop sell large heavy items online set proper delivery system like costco home depot,0.0,1.0,0.0,0.0,0.06,0.88,0.059,0.0258
https://ca.trustpilot.com/users/60091fc06d10d9001a618655,1,2024-10-03,money taken order never shipped,ordered website made sure ordering walmart directly third party vendor turns walmart lying ordering 3rd party putting walmart box shipping shipped sold placed order 6 days ago moment made communication called ask told wait 72 business hours response back customer service useless could hear phone scooter honking background managed get cs rep admit order delayed quickly retracted asked communication delay item ordered 400 feel scammed point live island base purchases dates shown delivery met end deal paying bill turn follow disgusted walmarts customer service practices point never stepping foot stores,0.0,1.0,0.0,0.0,0.091,0.777,0.132,-0.6486
https://ca.trustpilot.com/users/66b7bee93f448c1aa56f6e0f,1,2024-10-01,customer associates attention walmart,went shopping today walmart located 1644 hillside ave frequent customer needed help customer service associate raised hand trying get someones attention every associate talking paying attention customers associate saw approached aggressive manner behaviour low level could even feel rudeness unprofessionalism rude inconsiderate unprofessional associates given opportunity work unfortunately abuse system whatever want please supervise,0.0,1.0,0.0,0.0,0.163,0.544,0.292,-0.8658
https://ca.trustpilot.com/users/5e64326bbaa518830f122fa1,5,2024-09-26,positive customer service grateful,went shopping today walmart store capilano edmonton alberta received excellent superb customer service 2 employees one employee frozen foods wearing white coat unfortunately find name however showed items needed walking shelves found knowledgeable kind respectful good listening skills grocery items checked cash register served polite cashier name ashna grateful 2 well trained employees recommend anyone walmart located capilano50 st find groceries fruits clothing electronics everything need one location im resident edmonton name nellie,0.767,0.233,0.0,0.765,0.271,0.703,0.026,0.9694
https://ca.trustpilot.com/users/67040274554347572aa772ce,1,2024-10-06,worst customer service experience,could give customer service minus 5 stars would absolute worse customer service ever come across ordered tv 26th september said would 27th received message saying delayed 28th appreciated 30th september still tv phoned walmart explained situation said escalation team would touch escalation team phoned 1st october said looking update 3rd october phoned walmart stated wait escalation team get touch ended phoning looking speak supervisor help either stated would compensated still got refund rate im even sure compensated awful experience 4th october fed ex phoned said order lost walmart refund money tv found phoned walmart straight away explain speaking fed ex must issue refund got told escalation team would touch 7th october one escalation team contact asked customer service refund said authorised asked direct number escalation team said number customers contact asked email address walmart send complaint told email address send complaint hate hate hate leaving bad reviews feel left options customer services appalling tv money seems dragging feet refunding back money walmart multibillion company least would expect would good customer service,0.0,0.423,0.577,-0.6249,0.078,0.763,0.159,-0.9524
https://ca.trustpilot.com/users/66e60ae99c0d333680ca395e,2,2024-09-14,scam protection plan,upsell protection plan doesnt cover anything paying scam multibillion dollar company add funds account without looking customers going upsell insurance plans protections could least make sure actually going worth money taking regular people,0.0,0.351,0.649,-0.5719,0.111,0.792,0.098,-0.128
https://ca.trustpilot.com/users/5f08fb46b2943ea64ce6bcac,1,2024-09-06,inconsiderate unprofessional,made order alotted wrong address immediately cancelled order yet walmart withdrew funds received back 4 full business days plus weekend call centre gives run around rude wait times average 30 min absolute resolve consideration,0.0,0.0,1.0,-0.7351,0.064,0.737,0.199,-0.6705
https://ca.trustpilot.com/users/66ef1d227e011508a882ca56,1,2024-09-21,stay away electronics,stay away electronics bought sandisk sd card walmart september 21 2024 put sd card camera reading returned sd card walmart morning september 22 literally less 24 hours later informed cannot accept opened electronic devices wonder kind policy asked manager asked get know something working unless open going back forth supervisor manager rush meeting finally got approval exchange stay away buying electronics walmart open manager associates informed walmart accept returns opened electronics even buy something defective open box loss care time money stay away electronic products walmart talking 1045 wellington road london,0.0,1.0,0.0,0.0,0.119,0.81,0.071,0.711
